CountryName	CountryCode	RegionName	RegionCode	Jurisdiction	Date	C1_School closing	C1_Flag	C2_Workplace closing	C2_Flag	C3_Cancel public events	C3_Flag	C4_Restrictions on gatherings	C4_Flag	C5_Close public transport	C5_Flag	C6_Stay at home requirements	C6_Flag	C7_Restrictions on internal movement	C7_Flag	C8_International travel controls	E1_Income support	E1_Flag	E2_Debt/contract relief	E3_Fiscal measures	E4_International support	H1_Public information campaigns	H1_Flag	H2_Testing policy	H3_Contact tracing	H4_Emergency investment in healthcare	H5_Investment in vaccines	H6_Facial Coverings	H6_Flag	H7_Vaccination policy	H7_Flag	H8_Protection of elderly people	H8_Flag	M1_Wildcard	V1_Vaccine Prioritisation (summary)	V2A_Vaccine Availability (summary)	V2B_Vaccine age eligibility/availability age floor (general population summary)	V2C_Vaccine age eligibility/availability age floor (at risk summary)	V2D_Medically/ clinically vulnerable (Non-elderly)	V2E_Education	V2F_Frontline workers  (non healthcare)	V2G_Frontline workers  (healthcare)	V3_Vaccine Financial Support (summary)	ConfirmedCases	ConfirmedDeaths	StringencyIndex	StringencyIndexForDisplay	StringencyLegacyIndex	StringencyLegacyIndexForDisplay	GovernmentResponseIndex	GovernmentResponseIndexForDisplay	ContainmentHealthIndex	ContainmentHealthIndexForDisplay	EconomicSupportIndex	EconomicSupportIndexForDisplay	Datum	id_time	time_cat
Germany	DEU			NAT_TOTAL	20200102	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0		0.0			0.0	0.0							0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-02	0	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200103	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0		0.0			0.0	0.0							0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-03	1	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200104	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0		0.0			0.0	0.0							0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-04	2	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200105	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0		0.0			0.0	0.0							0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-05	3	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200106	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0		0.0			0.0	0.0							0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-06	4	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200107	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0		0.0			0.0	0.0							0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-07	5	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200108	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0		0.0			0.0	0.0							0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-08	6	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200109	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0		0.0			0.0	0.0							0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-09	7	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200110	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0		0.0			0.0	0.0							0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-10	8	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200111	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0		0.0			0.0	0.0							0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-11	9	1: Bis Februar
